country,player
New Zealand,LH Ferguson
New Zealand,MJ Santner
New Zealand,R Ravindra
New Zealand,JDS Neesham
New Zealand,GD Phillips
United Arab Emirates,Haider Ali
United Arab Emirates,Muhammad Rohid
United Arab Emirates,Junaid Siddique
United Arab Emirates,D Parashar
United Arab Emirates,Muhammad Arfan
United States of America,Ehsan Adil
United States of America,Milind Kumar
Pakistan,Usman Tariq
Australia,XC Bartlett
Australia,MP Kuhnemann
Australia,NT Ellis
Australia,A Zampa
Australia,C Connolly
England,J Overton
West Indies,RL Chase
Oman,Jay Odedra
Sri Lanka,MADI Hemantha
Sri Lanka,PHKD Mendis
Italy,Jaspreet Singh
Nepal,LN Rajbanshi
Namibia,B Shikongo
India,S Dube
India,JJ Bumrah
Australia,BJ Dwarshuis
Australia,MP Stoinis
Australia,GJ Maxwell
Australia,C Green
Zimbabwe,D Myers
Zimbabwe,AG Cremer
Zimbabwe,RP Burl
United Arab Emirates,Muhammad Jawadullah
United Arab Emirates,Muhammad Farooq
United Arab Emirates,H Kaushik
United States of America,NP Kenjige
Oman,Aamir Kaleem
Oman,Mohammad Nadeem
Ireland,J Little
South Africa,AK Markram
Nepal,Sompal Kami
Pakistan,Agha Salman
India,Kuldeep Yadav
India,Tilak Varma
India,RK Singh
New Zealand,KA Jamieson
New Zealand,CE McConchie
Canada,Shivam Sharma
Nepal,RK Paudel
South Africa,KT Maphaka
South Africa,A Nortje
South Africa,GF Linde
Namibia,JT Brassell
Pakistan,Faheem Ashraf
India,Washington Sundar
India,Abhishek Sharma
Sri Lanka,D Madushanka
Sri Lanka,PM Liyanagamage
Oman,Shafiq Jan
Sri Lanka,KIC Asalanka
New Zealand,IS Sodhi
Zimbabwe,TT Maposa
England,JG Bethell
England,Rehan Ahmed
Sri Lanka,J Liyanage
Pakistan,Naseem Shah
